Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Country of publisher,APC,Has other fees,bnd1,bnd2,correo
Anais da Academia Brasileira de Ciências,http://www.scielo.br/scielo.php?script=sci_serial&pid=0001-3765&lng=en&nrm=iso,https://doaj.org/toc/ed09859a464f4461b1af34279d17f7a8,0001-3765,1678-2690,Brazil,No,No,aabc@abc.org.br,aabc@abc.org.br,aabc@abc.org.br
ACME,http://riviste.unimi.it/index.php/ACME,https://doaj.org/toc/b1ca04ba56194f29a362b3eeff428f91,0001-494X,2282-0035,Italy,No,No,,,
Acta Biochimica Polonica,https://ojs.ptbioch.edu.pl/index.php/abp,https://doaj.org/toc/eea321d7f4c34a59be8fd1203558c1b5,0001-527X,1734-154X,Poland,Yes,No,,,
Acta Dermato-Venereologica,https://medicaljournalssweden.se/actadv,https://doaj.org/toc/ffde9666ab1d46f1a8c688ce64e59262,0001-5555,1651-2057,Sweden,Yes,Yes,,,
Acta Médica Costarricense,http://actamedica.medicos.cr/index.php/Acta_Medica/index,https://doaj.org/toc/a5919aee5ad2413a89cf32df0746a662,0001-6012,2215-5856,Costa Rica,No,No,actamedica@medicos.cr,actamedica@medicos.cr,actamedica@medicos.cr
Acta Mycologica,https://pbsociety.org.pl/journals/index.php/am/index,https://doaj.org/toc/0e8e2531ae3f455ebb49acb08191cf78,0001-625X,2353-074X,Poland,Yes,No,,,
Acta Psychologica,https://www.journals.elsevier.com/acta-psychologica,https://doaj.org/toc/ccbace2c4ad943b791c7d48123ddf931,0001-6918,1873-6297,Netherlands,Yes,No,,,
Acta Societatis Botanicorum Poloniae,https://pbsociety.org.pl/journals/index.php/asbp/index,https://doaj.org/toc/31788fc5aa954fa7a85e2bad856fe0dd,0001-6977,2083-9480,Poland,Yes,No,,,
Acta Stomatologica Croatica,http://hrcak.srce.hr/index.php?show=casopis&id_casopis=6,https://doaj.org/toc/379893473a704720bc584c33bd4578fa,0001-7019,1846-0410,Croatia,No,No,,,
Actas Dermo-Sifiliográficas,https://www.journals.elsevier.com/actas-dermo-sifiliograficas,https://doaj.org/toc/82fef85156fd43f5b52da550dea7822d,0001-7310,1578-2190,Spain,Yes,No,,,
Africa Spectrum,https://journals.sagepub.com/home/afr,https://doaj.org/toc/a13c20f1111c480e9875a1136e63d834,0002-0397,1868-6869,United Kingdom,No,No,,,
Afro-Ásia,https://periodicos.ufba.br/index.php/afroasia/index,https://doaj.org/toc/81fc185224344c659e6d318a2a17f777,0002-0591,1981-1411,Brazil,No,No,,,
Revista Alergia México,http://revistaalergia.mx/ojs/index.php/ram,https://doaj.org/toc/f9a8ddd0118d4ceea5591cb27eb40bcb,0002-5151,2448-9190,Mexico,Yes,Yes,editor.ram@cmica.com.mx,editor.ram@cmica.com.mx,editor.ram@cmica.com.mx
Alfa: Revista de Lingüística,http://www.scielo.br/scielo.php?script=sci_serial&pid=1981-5794&lng=en&nrm=iso,https://doaj.org/toc/d9edbf2c613c44e98f1800eb22d2abc8,0002-5216,1981-5794,Brazil,No,No,,,
Journal of the American Society for Horticultural Science,https://journals.ashs.org/jashs/view/journals/jashs/jashs-overview.xml,https://doaj.org/toc/ca4613be98aa4559b915c17a9cfc73e2,0003-1062,2327-9788,United States,Yes,No,,,
Anali Pravnog Fakulteta u Beogradu,http://scindeks.ceon.rs/journalDetails.aspx?issn=0003-2565&lang=en,https://doaj.org/toc/eb88cb4675fa4396a4a2c73f31e0f1a9,0003-2565,2406-2693,Serbia,No,No,,,
Análise Social,http://analisesocial.ics.ul.pt/,https://doaj.org/toc/d8760c9b58474149bab200d42e6151df,0003-2573,2182-2999,Portugal,No,No,,,
Angle Orthodontist,https://meridian.allenpress.com/angle-orthodontist,https://doaj.org/toc/a8157e6c6ce24f8999261ebd76bb479f,0003-3219,,United States,No,No,,,
Archeologia Polski,https://journals.iaepan.pl/apol/index,https://doaj.org/toc/adbab1054f844c0b9188d23731093f72,0003-8180,2719-7034,Poland,No,No,,,
Archives Animal Breeding,http://www.archives-animal-breeding.net/,https://doaj.org/toc/114515b819a344b88fdc0e469e04ef39,0003-9438,2363-9822,Germany,Yes,No,,,
