Res Gesta,http://200.16.86.39/index.php/RGES/oai?verb=Identify,Found:OK,insthistoria_rosario@uca.edu.ar,Argentina,0325-772X,2525-0884
Cirugía del Uruguay,https://revista.scu.org.uy/index.php/cir_urug/about/oai?verb=Identify,Found: NOT!!!,Uruguay,0009-7381,1688-1281
Revista Lecciones y Ensayos,http://www.derecho.uba.ar/publicaciones/lye/index.php/oai?verb=Identify,Found:OK,direccionlye@derecho.uba.ar, lye@derecho.uba.ar,Argentina,0024-0079,2362-4620
Caryologia,https://riviste.fupress.net/index.php/caryologia/oai?verb=Identify,Found:OK,alpapini@unifi.it,Italy,0008-7114,2165-5391
Mikarimin,http://45.238.216.13/ojs/index.php/mikarimin/oai?verb=Identify,Found:OK,samv1978@hotmail.com,Ecuador,,2528-7842
Maal og Minne,http://ojs.novus.no/index.php/MOM/oai?verb=Identify,Found:OK,ibbu@hvl.no,Norway,0024-855X,1890-5455
Greek Roman and Byzantine Studies,https://grbs.library.duke.edu/index.php/grbs/oai?verb=Identify,Found:OK,grbs@duke.edu,United States,0017-3916,2159-3159
Revista de Fomento Social,https://www.revistadefomentosocial.es/rfs/oai?verb=Identify,Found:OK,revistadefomentosocial@uloyola.es,Spain,0015-6043,2695-6462
Names,https://ans-names.pitt.edu/ans/oai?verb=Identify,Found:OK,ans-names@library.pitt.edu,United States,0027-7738,1756-2279
Historický Časopis,https://www.historickycasopis.sk/indexenglish.php?id=aboutthejournal/oai?verb=Identify,Found: NOT!!!,0018-2575,2585-9099
Afro-Ásia,https://periodicos.ufba.br/index.php/afroasia/oai?verb=Identify,Found:OK,afroasia@ufba.br,Brazil,0002-0591,1981-1411
Archivos de Pediatría del Uruguay,https://adp.sup.org.uy/index.php/adp/oai?verb=Identify,Found:OK,secretaria@sup.org.uy,Uruguay,0004-0584,1688-1249
Acta Biochimica Polonica,https://ojs.ptbioch.edu.pl/index.php/abp/oai?verb=Identify,Found:OK,abp@ptbioch.edu.pl,Poland,0001-527X,1734-154X
Journal of Scientific and Industrial Research,http://op.niscpr.res.in/index.php/jsir/oai?verb=Identify,Found:OK,jsir@niscpr.res.in,India,0022-4456,0975-1084
Indian Journal of Experimental Biology,http://op.niscpr.res.in/index.php/IJEB/oai?verb=Identify,Found:OK,ijeb@niscpr.res.in,India,0019-5189,0975-1009
Acta Mycologica,https://pbsociety.org.pl/journals/index.php/am/oai?verb=Identify,Found:OK,am@pbsociety.org.pl,Poland,0001-625X,2353-074X
Pakistan Journal of Medical Research,https://pjmr.org.pk/index.php/pjmr/oai?verb=Identify,Found:OK,pjmr.hri@pjmr.org.pk,Pakistan,0030-9842,
Acta Societatis Botanicorum Poloniae,https://pbsociety.org.pl/journals/index.php/asbp/oai?verb=Identify,Found:OK,asbp@pbsociety.org.pl,Poland,0001-6977,2083-9480
Kwartalnik Historii Kultury Materialnej,https://journals.iaepan.pl/khkm/oai?verb=Identify,Found:OK,kwartalnik@iaepan.edu.pl,Poland,0023-5881,2719-6496
