Journal title,Journal URL,URL in DOAJ,When did the journal start to publish all content using an open license?,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Keywords,Languages in which the journal accepts manuscripts,Publisher,Country of publisher,Society or institution,Country of society or institution,Journal license,License attributes,URL for license terms,Machine-readable CC licensing information embedded or displayed in articles,URL to an example page with embedded licensing information,Author holds copyright without restrictions,Copyright information URL,Review process,Review process information URL,Journal plagiarism screening policy,Plagiarism information URL,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,Average number of weeks between article submission and publication,APC,APC information URL,APC amount,Journal waiver policy (for developing country authors etc),Waiver policy information URL,Has other fees,Other fees information URL,Preservation Services,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,Persistent article identifiers,Article metadata includes ORCIDs,Journal complies with I4OC standards for open citations,Does the journal comply to DOAJ's definition of open access?,URL for journal's Open Access statement,Continues,Continued By,LCC Codes,Subjects,DOAJ Seal,Added on Date,Last updated Date,Number of Article Records,Most Recent Article Added
ACME,http://riviste.unimi.it/index.php/ACME/oai?verb=Identify,https://doaj.org/toc/b1ca04ba56194f29a362b3eeff428f91,0001-494X,2282-0035,Italy,No,No,,,0001494X,22820035,
Acta Biochimica Polonica,https://ojs.ptbioch.edu.pl/index.php/abp/oai?verb=Identify,https://doaj.org/toc/eea321d7f4c34a59be8fd1203558c1b5,0001-527X,1734-154X,Poland,Yes,No,,,0001527X,1734154X,
Acta Mycologica,https://pbsociety.org.pl/journals/index.php/am/oai?verb=Identify,https://doaj.org/toc/0e8e2531ae3f455ebb49acb08191cf78,0001-625X,2353-074X,Poland,Yes,No,,,0001625X,2353074X,
Acta Societatis Botanicorum Poloniae,https://pbsociety.org.pl/journals/index.php/asbp/oai?verb=Identify,https://doaj.org/toc/31788fc5aa954fa7a85e2bad856fe0dd,0001-6977,2083-9480,Poland,Yes,No,,,16977,20839480,
Acta Stomatologica Croatica,http://hrcak.srce.hr/index.php?show=casopis&id_casopis=6/oai?verb=Identify,https://doaj.org/toc/379893473a704720bc584c33bd4578fa,0001-7019,1846-0410,Croatia,No,No,,,17019,18460410,
Afro-Ásia,https://periodicos.ufba.br/index.php/afroasia/oai?verb=Identify,https://doaj.org/toc/81fc185224344c659e6d318a2a17f777,0002-0591,1981-1411,Brazil,No,No,,,20591,19811411,
Archeologia Polski,https://journals.iaepan.pl/apol/oai?verb=Identify,https://doaj.org/toc/adbab1054f844c0b9188d23731093f72,0003-8180,2719-7034,Poland,No,No,,,38180,27197034,
Archivos de Pediatría del Uruguay,https://adp.sup.org.uy/index.php/adp/oai?verb=Identify,https://doaj.org/toc/2b28fe784fab42358f156cba34e136bf,0004-0584,1688-1249,Uruguay,No,No,,,40584,16881249,
Ars Pharmaceutica,http://revistaseug.ugr.es/index.php/ars/oai?verb=Identify,https://doaj.org/toc/21902789da92421ca6061616f3971261,0004-2927,2340-9894,Spain,No,No,,,42927,23409894,
Caryologia,https://riviste.fupress.net/index.php/caryologia/oai?verb=Identify,https://doaj.org/toc/50b7ed0af35445ce9131e58218efce69,0008-7114,2165-5391,Italy,Yes,No,,,87114,21655391,
