Journal title,Journal URL,URL in DOAJ,When did the journal start to publish all content using an open license?,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Keywords,Languages in which the journal accepts manuscripts,Publisher,Country of publisher,Society or institution,Country of society or institution,Journal license,License attributes,URL for license terms,Machine-readable CC licensing information embedded or displayed in articles,URL to an example page with embedded licensing information,Author holds copyright without restrictions,Copyright information URL,Review process,Review process information URL,Journal plagiarism screening policy,Plagiarism information URL,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,Average number of weeks between article submission and publication,APC,APC information URL,APC amount,Journal waiver policy (for developing country authors etc),Waiver policy information URL,Has other fees,Other fees information URL,Preservation Services,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,Persistent article identifiers,Article metadata includes ORCIDs,Journal complies with I4OC standards for open citations,Does the journal comply to DOAJ's definition of open access?,URL for journal's Open Access statement,Continues,Continued By,LCC Codes,Subjects,DOAJ Seal,Added on Date,Last updated Date,Number of Article Records,Most Recent Article Added
Acta Biochimica Polonica,https://ojs.ptbioch.edu.pl/index.php/abp,https://doaj.org/toc/eea321d7f4c34a59be8fd1203558c1b5,2000,,0001-527X,1734-154X,"molecular biology, biophysics, bioinformatics, biotechnology, pharmacology, biochemistry",English,Polish Biochemical Society,Poland,,,CC BY-SA,,https://ojs.ptbioch.edu.pl/index.php/abp/about,,,Yes,https://ojs.ptbioch.edu.pl/index.php/abp/about/submissions,Peer review,https://ojs.ptbioch.edu.pl/index.php/abp/about/submissions,No,,https://ojs.ptbioch.edu.pl/index.php/abp/about,https://ojs.ptbioch.edu.pl/index.php/abp/about/editorialTeam,https://ojs.ptbioch.edu.pl/index.php/abp/about/submissions,20,Yes,https://ojs.ptbioch.edu.pl/index.php/abp/about/submissions,8000 PLN; 2400 EUR,Yes,https://ojs.ptbioch.edu.pl/index.php/abp/about/submissions,No,,,,,,,DOI,Yes,No,Yes,https://ojs.ptbioch.edu.pl/index.php/abp/about,,,QD415-436|QH426-470,Science: Chemistry: Organic chemistry: Biochemistry | Science: Biology (General): Genetics,No,2022-05-23T10:09:09Z,2022-05-23T10:09:09Z,0,
Revista Alergia México,http://revistaalergia.mx/ojs/index.php/ram,https://doaj.org/toc/f9a8ddd0118d4ceea5591cb27eb40bcb,2014,,0002-5151,2448-9190,"clinical inmunology, clinical allergy, allergic diseases, allergy, immunology","Spanish, English","Colegio Mexicano de Inmunología Clínica y Alergia, A.C.",Mexico,,,CC BY-NC,,https://revistaalergia.mx/ojs/index.php/ram/propiedad_intelectual,Yes,http://revistaalergia.mx/ojs/index.php/ram/article/view/185/425,No,https://revistaalergia.mx/ojs/index.php/ram/propiedad_intelectual,Double blind peer review,https://revistaalergia.mx/ojs/index.php/ram/evaluacion_pares,Yes,https://revistaalergia.mx/ojs/index.php/ram/antiplagio,https://revistaalergia.mx/ojs/index.php/ram/about,http://revistaalergia.mx/ojs/index.php/ram/about/editorialTeam,http://revistaalergia.mx/ojs/index.php/ram/about/submissions#authorGuidelines,12,Yes,https://revistaalergia.mx/ojs/index.php/ram/fees,300 USD,Yes,https://revistaalergia.mx/ojs/index.php/ram/fees,Yes,https://revistaalergia.mx/ojs/index.php/ram/fees,"CLOCKSS, PKP PN",,https://portal.issn.org/resource/ISSN/2448-9190,,,DOI,Yes,Yes,Yes,https://revistaalergia.mx/ojs/index.php/ram/acceso_abierto,,,RC581-607,Medicine: Internal medicine: Specialties of internal medicine: Immunologic diseases. Allergy,No,2018-04-14T13:57:59Z,2023-02-14T10:20:25Z,545,2023-02-02T05:09:13Z
Contributions to Entomology,https://www.contributions-to-entomology.org/,https://doaj.org/toc/2719a4e7670a4dcc853c7f6cfa7f4cf2,2017,Beiträge zur Entomologie,0005-805X,2511-6428,"systematics, taxonomy, phylogeny, biogeography, faunistics, insects","English, German",Senckenberg Deutsches Entomologisches Institut,Germany,Deutsche Gesellschaft für allgemeine und angewandte Entomologie,Germany,CC BY-NC-SA,,https://www.contributions-to-entomology.org/about,Yes,https://www.contributions-to-entomology.org/article/view/1990,No,https://www.contributions-to-entomology.org/index.php/beitraege_entomologie/nutzungsrechte,Peer review,https://www.contributions-to-entomology.org/about,Yes,https://www.contributions-to-entomology.org/index.php/beitraege_entomologie/nutzungsrechte,https://www.contributions-to-entomology.org/about/,https://www.contributions-to-entomology.org/about/editorialTeam,https://ojs.ub.uni-frankfurt.de/beitraege_entomologie/index.php/beitraege_entomologie/about/submissions,12,No,https://www.contributions-to-entomology.org/about,,No,,No,,,Deutsche Nationalbibliothek (DNB),https://www.contributions-to-entomology.org/about,,,DOI,,,Yes,https://www.contributions-to-entomology.org/about,,,QH301-705.5|QL1-991,Science: Biology (General) | Science: Zoology,No,2020-01-29T16:05:51Z,2022-07-20T07:26:06Z,18,2022-12-07T09:54:06Z
Ciceroniana,http://www.ojs.unito.it/index.php/COL/index,https://doaj.org/toc/78fb09df0d7349f0a43b6256d79656f2,1959,,0009-6687,2532-5299,"classics, latin, marcus tullius cicero, roman thought, ancient philosophy, classical philology","English, French, German, Italian, Spanish",Università degli Studi di Torino,Italy,Société Internationale des Amis de Cicéron,,CC BY-SA,,http://www.ojs.unito.it/index.php/COL/article/view/2194/1933,,,Yes,http://www.ojs.unito.it/index.php/COL/about/submissions#copyrightNotice,Double blind peer review,http://www.ojs.unito.it/index.php/COL/about/editorialPolicies#peerReviewProcess,No,,http://www.ojs.unito.it/index.php/COL/about/editorialPolicies#focusAndScope,http://www.ojs.unito.it/index.php/COL/about/editorialTeam,http://www.ojs.unito.it/index.php/COL/about/submissions#authorGuidelines,20,No,http://www.ojs.unito.it/index.php/COL/about/editorialPolicies#custom-2,,No,,No,http://www.ojs.unito.it/index.php/COL/about/editorialPolicies#custom-2,LOCKSS,,http://www.ojs.unito.it/index.php/COL/about/editorialPolicies#archiving,Sherpa/Romeo,,DOI,,,Yes,http://www.ojs.unito.it/index.php/COL/about/editorialPolicies#openAccessPolicy,,2532-5353,P1-1091|PA,Language and Literature: Philology. Linguistics | Language and Literature: Greek language and literature. Latin language and literature,No,2017-11-13T11:05:25Z,2018-06-06T09:30:16Z,197,2023-01-01T17:06:32Z
Darwiniana,http://www.ojs.darwin.edu.ar/index.php/darwiniana/index,https://doaj.org/toc/889768ae68c34f02853356b947b3ca81,2012,,0011-6793,1850-1702,"botany, ecology, genetics, phytogeography","English, Spanish",Instituto de Botánica Darwinion y el Museo Botánico de Córdoba,Argentina,Instituto de Botánica Darwinion y el Museo Botánico de Córdoba,,CC BY-NC,,http://www.ojs.darwin.edu.ar/index.php/darwiniana/about/submissions#copyrightNotice,,,No,,Double blind peer review,http://www.ojs.darwin.edu.ar/index.php/darwiniana/about/editorialPolicies#peerReviewProcess,No,,http://www.ojs.darwin.edu.ar/index.php/darwiniana/about/editorialPolicies#focusAndScope,http://www.ojs.darwin.edu.ar/index.php/darwiniana/about/editorialTeam,http://www.ojs.darwin.edu.ar/index.php/darwiniana/about/submissions#authorGuidelines,26,No,http://www.ojs.darwin.edu.ar/index.php/darwiniana/index,,No,,No,http://www.ojs.darwin.edu.ar/index.php/darwiniana/index,,,http://www.ojs.darwin.edu.ar/index.php/darwiniana/about/editorialPolicies#openAccessPolicy,,,DOI,,,Yes,http://www.ojs.darwin.edu.ar/index.php/darwiniana/about/editorialPolicies#openAccessPolicy,,,Q|QH301-705.5|QK1-989,Science: Biology (General) | Science: Botany,No,2017-01-03T21:21:31Z,2019-10-04T19:00:35Z,402,2018-01-16T20:00:45Z
Fennia: International Journal of Geography,http://ojs.tsv.fi/index.php/fennia,https://doaj.org/toc/cd307e404328449e8d985edb55908914,2010,,0015-0010,1798-5617,"geography, physical geography, human geography",English,Geographical Society of Finland,Finland,,,CC BY,,http://ojs.tsv.fi/index.php/fennia/about/submissions#copyrightNotice,Yes,http://ojs.tsv.fi/index.php/fennia/article/view/46331/15801,Yes,http://ojs.tsv.fi/index.php/fennia/about/submissions#copyrightNotice,Double blind peer review,http://fennia.journal.fi/about/submissions,Yes,http://ojs.tsv.fi/index.php/fennia/about/submissions#authorGuidelines,http://fennia.journal.fi/about,http://fennia.journal.fi/about/editorialTeam,http://ojs.tsv.fi/index.php/fennia/about/submissions#authorGuidelines,16,No,http://ojs.tsv.fi/index.php/fennia/index,,No,,No,http://ojs.tsv.fi/index.php/fennia/index,,,,,,DOI,,,Yes,http://fennia.journal.fi/about,,,G1-922,Geography. Anthropology. Recreation: Geography (General),No,2010-11-19T14:07:17Z,2017-04-18T12:30:22Z,733,2023-02-28T16:12:26Z
Filosofia,http://www.ojs.unito.it/index.php/filosofia/index,https://doaj.org/toc/88b822676a824738b31dec091a94cff5,2019,,0015-1823,2704-8195,"philosophy, moral philosophy, theoretical philosophy, history of philosophy","English, German, Italian",Mimesis Edizioni,Italy,Università di Torino,,CC BY,,https://www.ojs.unito.it/index.php/filosofia/open-access,,,Yes,http://www.ojs.unito.it/index.php/filosofia/about/editorialPolicies#openAccessPolicy,Double blind peer review,https://www.ojs.unito.it/index.php/filosofia/peer-review,No,,https://www.ojs.unito.it/index.php/filosofia/about,https://www.ojs.unito.it/index.php/filosofia/about/editorialTeam,https://www.ojs.unito.it/index.php/filosofia/about,24,No,https://www.ojs.unito.it/index.php/filosofia/about,,No,,No,,,,,,,DOI,,,Yes,https://www.ojs.unito.it/index.php/filosofia/open-access,,,B1-5802,Philosophy. Psychology. Religion: Philosophy (General),No,2020-01-30T11:22:44Z,2021-01-25T19:51:01Z,0,
Maal og Minne,http://ojs.novus.no/index.php/MOM,https://doaj.org/toc/7ceeec09e2f745ba8cd32b65bc56922f,2007,,0024-855X,1890-5455,"norwegian language, norwegian language memories, medieval literature, norwegian place names","Danish, English, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Novus forlag,Norway,Bymålslaget,,CC BY-SA,,http://ojs.novus.no/index.php/MOM/about,,,Yes,http://ojs.novus.no/index.php/MOM/about,Blind peer review,http://ojs.novus.no/index.php/MOM/about,No,,http://ojs.novus.no/index.php/MOM/about,http://ojs.novus.no/index.php/MOM/about/editorialTeam,http://ojs.novus.no/index.php/MOM/mom_instruks,26,No,http://ojs.novus.no/index.php/MOM/about,,No,,No,,,,,,,,No,No,Yes,http://ojs.novus.no/index.php/MOM/about,,,P1-1091|PD1-7159,Language and Literature: Philology. Linguistics | Language and Literature: Germanic languages. Scandinavian languages,No,2018-06-25T09:36:56Z,2021-03-19T13:59:09Z,36,2022-12-07T14:41:48Z
Moneta e Credito,http://www.monetaecredito.info,https://doaj.org/toc/17dc031096fa4d898b406b5a8143932b,2009,,0026-9611,2037-3651,"political economy, financial crisis",Italian,Associazione Economia civile,Italy,Associazione Economia civile,,CC BY-NC-ND,,http://ojs.uniroma1.it/index.php/monetaecredito/about/submissions#copyrightNotice,Yes,http://ojs.uniroma1.it/index.php/monetaecredito/article/view/13162/12976,Yes,http://ojs.uniroma1.it/index.php/monetaecredito/about/submissions#copyrightNotice,Double blind peer review,http://ojs.uniroma1.it/index.php/monetaecredito/about/editorialPolicies#peerReviewProcess,No,,http://ojs.uniroma1.it/index.php/monetaecredito/about/editorialPolicies#focusAndScope,http://ojs.uniroma1.it/index.php/monetaecredito/about/editorialTeam,http://ojs.uniroma1.it/index.php/monetaecredito/about/submissions#onlineSubmissions,20,No,http://ojs.uniroma1.it/index.php/monetaecredito/about/editorialPolicies#focusAndScope,,No,,No,,,,,,,,,,Yes,http://ojs.uniroma1.it/index.php/monetaecredito/about/editorialPolicies#focusAndScope,,,HG1-9999|HB1-3840,Social Sciences: Finance | Social Sciences: Economic theory. Demography,No,2010-11-12T12:41:50Z,2021-01-27T13:21:03Z,1624,2023-01-17T16:45:01Z
Pedagogika,http://www.pedcas.cz,https://doaj.org/toc/76e5fe656f154199938a7abcb8c47e4d,2014,,0031-3815,2336-2189,"education, pedagogy, teaching","Czech, English","Charles University, Faculty of Education",Czechia,,,CC BY,,https://ojs.cuni.cz/pedagogika/about,,,Yes,https://ojs.cuni.cz/pedagogika/about,Double blind peer review,https://ojs.cuni.cz/pedagogika/about,Yes,https://ojs.cuni.cz/pedagogika/pa_etika,https://ojs.cuni.cz/pedagogika/pz_tz,https://ojs.cuni.cz/pedagogika/about/editorialTeam,https://ojs.cuni.cz/pedagogika/pa_pokyny,20,No,https://ojs.cuni.cz/pedagogika/about,,No,,No,https://ojs.cuni.cz/pedagogika/about,,,https://ojs.cuni.cz/pedagogika/about,,,DOI,,,Yes,https://ojs.cuni.cz/pedagogika/about,,,L,Education,No,2020-10-02T08:55:30Z,2020-10-02T08:55:30Z,311,2022-11-16T08:49:57Z
