Anais da Academia Brasileira de Ciências,http://www.scielo.br/scielo.php?script=sci_serial&pid=0001-3765&lng=en&nrm=iso,https://doaj.org/toc/ed09859a464f4461b1af34279d17f7a8,2000,Annals of the Brazilian Academy of Sciences,0001-3765,1678-2690,"biological sciences, exact and earth sciences, health sciences",English,Academia Brasileira de Ciências,Brazil,,,CC BY,,http://www.scielo.br/revistas/aabc/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000401505&lng=en&nrm=iso&tlng=en,No,,Peer review,http://www.scielo.br/revistas/aabc/iinstruc.htm,Yes,http://www.scielo.br/revistas/aabc/iinstruc.htm,http://www.scielo.br/revistas/aabc/iaboutj.htm,http://www.scielo.br/revistas/aabc/iedboard.htm,http://www.scielo.br/revistas/aabc/iinstruc.htm,18,No,http://www.scielo.br/revistas/aabc/iinstruc.htm,,No,,No,http://www.scielo.br/revistas/aabc/iinstruc.htm,,,,,,DOI,,,Yes,http://www.scielo.br/revistas/aabc/isubscrp.htm,,,Q,Science,No,2004-04-23T21:31:00Z,2017-01-04T14:19:54Z,3892,2023-02-21T07:34:41Z
Alfa: Revista de Lingüística,http://www.scielo.br/scielo.php?script=sci_serial&pid=1981-5794&lng=en&nrm=iso,https://doaj.org/toc/d9edbf2c613c44e98f1800eb22d2abc8,2011,Alfa,0002-5216,1981-5794,"linguistics, language, communication, speech","English, French, Italian, Portuguese, Spanish",Universidade Estadual Paulista Júlio de Mesquita Filho,Brazil,Universidade Estadual Paulista,,CC BY,,http://www.scielo.br/revistas/alfa/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942015000200255&lng=en&nrm=iso&tlng=en,No,,Peer review,http://www.scielo.br/revistas/alfa/iinstruc.htm,No,,http://www.scielo.br/revistas/alfa/paboutj.htm,http://www.scielo.br/revistas/alfa/iedboard.htm,http://www.scielo.br/revistas/alfa/iinstruc.htm,23,No,http://www.scielo.br/revistas/alfa/iaboutj.htm,,No,,No,,,,,,,DOI,No,No,Yes,https://www.scielo.br/revistas/alfa/iaboutj.htm,,,P1-1091,Language and Literature: Philology. Linguistics,No,2009-03-10T14:30:57Z,2021-02-15T12:15:12Z,1340,2022-11-29T07:41:48Z
Arquivos de Gastroenterologia,http://www.scielo.br/scielo.php?script=sci_serial&pid=0004-2803&lng=en&nrm=iso,https://doaj.org/toc/5deb98bc37ea42c085709a2f439d0105,1999,Archives of Gastroenterology,0004-2803,1678-4219,"health sciences, inflammatory bowel disease, crohn’s disease",English,Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia (IBEPEGE),Brazil,,,CC BY-NC,,http://www.scielo.br/revistas/ag/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200088&lng=en&nrm=iso&tlng=en,No,https://www.scielo.br/journal/ag/about/#about,Blind peer review,http://www.scielo.br/revistas/ag/iinstruc.htm,No,,http://www.scielo.br/revistas/ag/iinstruc.htm,http://www.scielo.br/revistas/ag/iedboard.htm,http://www.scielo.br/revistas/ag/iinstruc.htm,9,No,http://www.scielo.br/revistas/ag/iinstruc.htm#001,,No,,No,,,,,,,DOI,,,Yes,http://www.scielo.br/revistas/ag/isubscrp.htm,,,RC799-869,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology,No,2004-04-23T21:31:00Z,2022-02-15T16:27:20Z,1512,2022-12-13T07:32:39Z
Arquivos de Neuro-Psiquiatria,https://www.scielo.br/j/anp/,https://doaj.org/toc/ad64e91526904da7a7e509b303b08c7c,2000,,0004-282X,1678-4227,"health sciences, patients with neurological diseases, training for neurologists",English,Academia Brasileira de Neurologia (ABNEURO),Brazil,Academia Brasileira de Neurologia (ABN),,CC BY-NC,,http://www.scielo.br/revistas/anp/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000800648&lng=en&nrm=iso&tlng=en,No,,Peer review,http://www.scielo.br/revistas/anp/iinstruc.htm,No,,http://www.scielo.br/revistas/anp/iaboutj.htm,http://www.scielo.br/revistas/anp/iedboard.htm,http://www.scielo.br/revistas/anp/iinstruc.htm,7,Yes,https://www.scielo.br/journal/anp/about/#editors,200 USD,No,,No,,,,,,,DOI,,,Yes,http://www.scielo.br/revistas/anp/isubscrp.htm,,,RC321-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry,No,2004-04-23T21:31:00Z,2022-08-24T14:05:36Z,9386,2023-03-03T00:11:23Z
Dados: Revista de Ciências Sociais,http://www.scielo.br/scielo.php?script=sci_serial&pid=0011-5258&lng=es&nrm=iso,https://doaj.org/toc/b1554ae604a249a0809cdf70ecaf1fdc,1996,,0011-5258,1678-4588,social sciences,"Spanish, Portuguese, French, English",Universidade do Estado do Rio de Janeiro,Brazil,,,CC BY,,http://www.scielo.br/revistas/dados/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015000200371&lng=en&nrm=iso&tlng=pt,No,https://www.scielo.br/journal/dados/about/#about,Peer review,http://www.scielo.br/revistas/dados/iinstruc.htm#01,No,,http://www.scielo.br/revistas/dados/iinstruc.htm,http://www.scielo.br/revistas/dados/iedboard.htm,http://www.scielo.br/revistas/dados/iinstruc.htm,10,No,http://www.scielo.br/revistas/dados/iinstruc.htm#01,,No,,No,,,,,,,DOI,No,No,Yes,http://www.scielo.br/revistas/dados/isubscrp.htm,,,H1-99,Social Sciences: Social sciences (General),No,2004-04-06T14:54:54Z,2022-02-10T10:04:07Z,827,2023-03-07T07:33:31Z
Arquivos do Instituto Biológico,https://www.scielo.br/j/aib/,https://doaj.org/toc/8a1700e46e1240eab0e75363bbf94f86,2000,"Journal of Animal, Plant Sanity and Environmental Protection",0020-3653,1808-1657,"agricultural entomology, animal pathology, plant pathology, food safety, toxicity and pesticide residues in food, urban pest",English,Instituto Biológico,Brazil,Instituto Biológico,Brazil,CC BY,,https://www.scielo.br/journal/aib/about/#instructions,Yes,https://www.scielo.br/j/aib/a/XKztDTH4tM5SZTr9sCB9M7y/?lang=en&format=pdf,No,https://www.scielo.br/journal/aib/about/#instructions,Double blind peer review,https://www.scielo.br/journal/aib/about/#instructions,Yes,https://www.scielo.br/journal/aib/about/#instructions,https://www.scielo.br/journal/aib/about/#instructions,https://www.scielo.br/journal/aib/about/#editors,https://www.scielo.br/journal/aib/about/#instructions,48,Yes,https://www.scielo.br/journal/aib/about/#instructions,800 BRL,No,,No,,Cariniana Network,,https://portal.issn.org/resource/ISSN/1808-1657,Diadorim,https://diadorim.ibict.br/handle/1/1428,DOI,No,No,Yes,https://www.scielo.br/journal/aib/about/#about,,,S1-972,Agriculture: Agriculture (General),No,2015-05-08T14:00:17Z,2022-08-05T15:15:22Z,480,2020-06-10T21:57:57Z
Revista do Instituto de Estudos Brasileiros,http://www.scielo.br/scielo.php?script=sci_serial&pid=0020-3874&lng=en&nrm=iso,https://doaj.org/toc/ff19547b30a64563b9b3590dd1dcf2bd,2012,,0020-3874,,social networks,"English, Portuguese",Instituto de Estudos Brasileiros,Brazil,,,CC BY-NC,,http://www.scielo.br/revistas/rieb/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0020-38742016000200075&lng=en&nrm=iso&tlng=pt,No,,Peer review,http://www.scielo.br/revistas/rieb/iinstruc.htm,No,,http://www.scielo.br/revistas/rieb/iinstruc.htm,http://www.scielo.br/revistas/rieb/iedboard.htm,http://www.scielo.br/revistas/rieb/iinstruc.htm,16,No,http://www.scielo.br/revistas/rieb/iinstruc.htm,,No,,No,http://www.scielo.br/revistas/rieb/iinstruc.htm,,,,,,,,,Yes,http://www.scielo.br/revistas/rieb/isubscrp.htm,,,H1-99,Social Sciences: Social sciences (General),No,2017-01-19T13:56:29Z,2017-01-19T13:56:29Z,469,2023-01-31T07:32:05Z
Papéis Avulsos de Zoologia,https://www.scielo.br/j/paz/,https://doaj.org/toc/ca4713aa7b51434ba8b1c4dac6592114,2002,,0031-1049,1807-0205,biological sciences,"English, Portuguese, Spanish",Universidade de São Paulo,Brazil,"Universidade de São Paulo, Museu de Zoologia",,CC BY,,https://www.scielo.br/journal/paz/about/,,,No,https://www.scielo.br/journal/paz/about/,Peer review,http://www.scielo.br/revistas/paz/iinstruc.htm,No,,http://www.scielo.br/revistas/paz/iinstruc.htm,http://www.scielo.br/revistas/paz/iedboard.htm,http://www.scielo.br/revistas/paz/iinstruc.htm,8,No,http://www.scielo.br/revistas/paz/iinstruc.htm#004,,No,,No,,,,,,,DOI,No,No,Yes,http://www.scielo.br/revistas/paz/isubscrp.htm,,,QL1-991,Science: Zoology,No,2004-04-23T21:31:01Z,2022-03-26T11:41:35Z,844,2023-02-28T07:32:30Z
Revista Brasileira de Anestesiologia,http://www.scielo.br/scielo.php/script_sci_serial/pid_0034-7094/lng_en/nrm_iso,https://doaj.org/toc/2314d90a4d104e718c6d456120042479,2001,,0034-7094,1806-907X,"biological sciences, health sciences","Spanish, Portuguese, English",Sociedade Brasileira de Anestesiologia,Brazil,Sociedade Brasileira de Anestesiologia,,CC BY-NC-ND,,http://www.scielo.br/scielo.php/script_sci_serial/pid_0034-7094/lng_en/nrm_iso,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942014000600391&lng=en&nrm=iso&tlng=en,No,,Double blind peer review,http://www.scielo.br/revistas/rba/iinstruc.htm,No,,http://www.scielo.br/revistas/rba/iaboutj.htm,http://www.scielo.br/revistas/rba/iedboard.htm,http://www.scielo.br/revistas/rba/iinstruc.htm,21,No,http://www.scielo.br/revistas/rba/iinstruc.htm#03,,No,,No,,,,,,,DOI,,,Yes,http://www.scielo.br/revistas/rba/isubscrp.htm,,0104-0014,RD78.3-87.3,Medicine: Surgery: Anesthesiology,No,2004-04-23T21:31:01Z,2022-09-30T11:05:44Z,1937,2022-01-18T06:06:00Z
Revista Brasileira de Economia,http://www.scielo.br/scielo.php/script_sci_serial/pid_0034-7140/lng_en/nrm_iso,https://doaj.org/toc/9a440a852d034ba9a6328ff1e4cc36c0,1999,,0034-7140,1806-9134,applied social sciences,"English, Portuguese",Fundação Getúlio Vargas,Brazil,,,CC BY,,http://www.scielo.br/revistas/rbe/isubscrp.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402015000100003&lng=en&nrm=iso&tlng=en,No,,Peer review,http://www.scielo.br/revistas/rbe/iinstruc.htm,No,,http://www.scielo.br/revistas/rbe/iinstruc.htm,http://www.scielo.br/revistas/rbe/iedboard.htm,http://www.scielo.br/revistas/rbe/iinstruc.htm,20,Yes,http://www.scielo.br/revistas/rbe/iinstruc.htm,360 BRL,No,,No,http://www.scielo.br/revistas/rbe/iinstruc.htm#send,,,,,,DOI,,,Yes,http://www.scielo.br/revistas/rbe/isubscrp.htm,,,HB71-74,Social Sciences: Economic theory. Demography: Economics as a science,No,2004-04-23T21:31:01Z,2017-11-17T19:02:39Z,578,2022-12-20T07:36:11Z
